id,date,customer_segment,product_area,sentiment,severity,feature_request,description,revenue_impact,region
CF-0393,2026-05-25,Mid-Market,Notifications,positive,Critical,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,At Risk,LATAM
CF-0394,2026-01-21,Strategic,Mobile App,negative,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,High,APAC
CF-0395,2026-03-29,Strategic,Reporting,neutral,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,LATAM
CF-0396,2026-06-12,SMB,Integrations,neutral,Critical,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,At Risk,LATAM
CF-0397,2026-04-21,Mid-Market,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,LATAM
CF-0398,2026-01-19,Enterprise,Authentication,positive,High,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,APAC
CF-0399,2026-02-09,Startup,AI Assistant,negative,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,APAC
CF-0400,2026-04-24,SMB,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0401,2026-05-23,Strategic,Authentication,positive,Low,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,LATAM
CF-0402,2026-06-02,Strategic,Authentication,neutral,Low,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,APAC
CF-0403,2026-05-24,Mid-Market,Notifications,neutral,Low,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Low,EMEA
CF-0404,2026-03-19,SMB,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,LATAM
CF-0405,2026-04-18,SMB,Reporting,positive,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,LATAM
CF-0406,2026-06-10,Startup,AI Assistant,neutral,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,EMEA
CF-0407,2026-03-27,Strategic,Reporting,neutral,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,LATAM
CF-0408,2026-04-21,Strategic,Integrations,neutral,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,EMEA
CF-0409,2026-05-03,SMB,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,EMEA
CF-0410,2026-03-16,Startup,Reporting,negative,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,EMEA
CF-0411,2026-04-04,Enterprise,Mobile App,negative,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Medium,EMEA
CF-0412,2026-05-21,Enterprise,Integrations,neutral,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,LATAM
CF-0413,2026-03-16,Enterprise,AI Assistant,positive,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,LATAM
CF-0414,2026-06-18,Mid-Market,Reporting,neutral,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,LATAM
CF-0415,2026-05-03,Strategic,Reporting,positive,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,LATAM
CF-0416,2026-04-18,Strategic,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,North America
CF-0417,2026-06-13,Enterprise,Mobile App,negative,High,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,High,North America
CF-0418,2026-06-06,Enterprise,Dashboard,neutral,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,High,LATAM
CF-0419,2026-01-03,Enterprise,Mobile App,neutral,Critical,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,At Risk,APAC
CF-0420,2026-05-29,Strategic,AI Assistant,negative,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,EMEA
CF-0421,2026-05-31,Strategic,Reporting,neutral,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,EMEA
CF-0422,2026-03-17,Startup,Mobile App,neutral,Critical,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,At Risk,North America
CF-0423,2026-03-21,SMB,Authentication,negative,High,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,LATAM
CF-0424,2026-05-02,Enterprise,Integrations,neutral,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,LATAM
CF-0425,2026-03-18,Enterprise,Reporting,neutral,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0426,2026-02-12,Mid-Market,AI Assistant,negative,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,EMEA
CF-0427,2026-04-29,Mid-Market,AI Assistant,neutral,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,LATAM
CF-0428,2026-04-21,Startup,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,North America
CF-0429,2026-06-30,Mid-Market,Dashboard,neutral,Medium,custom executive widgets,Dashboard filters reset when managers switch between account views.,Low,EMEA
CF-0430,2026-05-28,Enterprise,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,EMEA
CF-0431,2026-06-21,Startup,Mobile App,neutral,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Medium,APAC
CF-0432,2026-01-30,SMB,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,APAC
CF-0433,2026-03-18,Strategic,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,North America
CF-0434,2026-03-20,Enterprise,AI Assistant,neutral,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,EMEA
CF-0435,2026-04-18,Strategic,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0436,2026-06-12,Strategic,Integrations,neutral,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,EMEA
CF-0437,2026-04-26,Strategic,Billing,positive,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Medium,North America
CF-0438,2026-02-19,Startup,Mobile App,neutral,Critical,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,At Risk,LATAM
CF-0439,2026-05-06,Mid-Market,Notifications,neutral,High,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Medium,North America
CF-0440,2026-03-16,Enterprise,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,APAC
CF-0441,2026-05-25,Startup,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,North America
CF-0442,2026-05-19,Enterprise,Authentication,neutral,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,LATAM
CF-0443,2026-06-17,Mid-Market,Dashboard,positive,Critical,custom executive widgets,Dashboard filters reset when managers switch between account views.,At Risk,APAC
CF-0444,2026-03-09,SMB,Integrations,positive,Critical,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,At Risk,North America
CF-0445,2026-02-23,Strategic,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,APAC
CF-0446,2026-02-22,Enterprise,Notifications,positive,Low,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Low,APAC
CF-0447,2026-03-16,SMB,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,APAC
CF-0448,2026-06-23,Enterprise,AI Assistant,neutral,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,EMEA
CF-0449,2026-06-17,Mid-Market,Notifications,negative,Critical,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,At Risk,EMEA
CF-0450,2026-06-23,Startup,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,LATAM
CF-0451,2026-04-07,Startup,Billing,positive,High,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Medium,North America
CF-0452,2026-04-14,Strategic,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0453,2026-01-01,Enterprise,Mobile App,neutral,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,High,LATAM
CF-0454,2026-04-12,Mid-Market,Mobile App,negative,Critical,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,At Risk,LATAM
CF-0455,2026-03-14,SMB,AI Assistant,neutral,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,EMEA
CF-0456,2026-06-24,Enterprise,Integrations,neutral,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,North America
CF-0457,2026-02-01,Mid-Market,Authentication,negative,High,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,LATAM
CF-0458,2026-06-26,Mid-Market,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,APAC
CF-0459,2026-01-24,SMB,Billing,negative,Critical,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,At Risk,APAC
CF-0460,2026-02-12,Enterprise,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,LATAM
CF-0461,2026-06-17,Enterprise,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,North America
CF-0462,2026-06-01,Mid-Market,AI Assistant,neutral,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,LATAM
CF-0463,2026-04-19,Mid-Market,AI Assistant,neutral,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,LATAM
CF-0464,2026-01-27,Enterprise,Integrations,neutral,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,APAC
CF-0465,2026-02-04,Mid-Market,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,North America
CF-0466,2026-02-24,Mid-Market,AI Assistant,positive,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,LATAM
CF-0467,2026-01-26,Mid-Market,Reporting,positive,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,North America
CF-0468,2026-03-22,Mid-Market,Integrations,neutral,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,EMEA
CF-0469,2026-06-03,Strategic,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,APAC
CF-0470,2026-03-19,Mid-Market,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,EMEA
CF-0471,2026-05-07,Startup,Notifications,positive,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Low,North America
CF-0472,2026-05-16,Enterprise,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0473,2026-04-18,SMB,Mobile App,negative,Low,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,High,EMEA
CF-0474,2026-01-05,Strategic,Reporting,negative,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,North America
CF-0475,2026-04-12,Strategic,Reporting,positive,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,APAC
CF-0476,2026-04-19,Startup,AI Assistant,neutral,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,North America
CF-0477,2026-02-22,Mid-Market,Billing,neutral,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,APAC
CF-0478,2026-06-24,Enterprise,Notifications,negative,High,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,High,APAC
CF-0479,2026-03-04,Enterprise,Notifications,negative,High,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Low,LATAM
CF-0480,2026-03-21,Mid-Market,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0481,2026-05-08,SMB,AI Assistant,negative,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,APAC
CF-0482,2026-01-31,Enterprise,Billing,negative,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Medium,APAC
CF-0483,2026-03-09,Strategic,AI Assistant,positive,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,North America
CF-0484,2026-05-08,Strategic,Integrations,neutral,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,EMEA
CF-0485,2026-05-27,Enterprise,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,EMEA
CF-0486,2026-01-12,Startup,AI Assistant,negative,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,APAC
CF-0487,2026-01-10,Strategic,Notifications,positive,Critical,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,At Risk,LATAM
CF-0488,2026-03-23,SMB,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,North America
CF-0489,2026-02-15,Mid-Market,Mobile App,negative,Low,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Low,North America
CF-0490,2026-04-30,SMB,AI Assistant,positive,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,APAC
CF-0491,2026-02-21,SMB,Mobile App,neutral,Low,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Medium,APAC
CF-0492,2026-06-01,Startup,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,EMEA
CF-0493,2026-03-01,Strategic,Dashboard,negative,Low,custom executive widgets,Dashboard filters reset when managers switch between account views.,Low,APAC
CF-0494,2026-06-18,Startup,AI Assistant,positive,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,APAC
CF-0495,2026-04-18,Startup,Reporting,neutral,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0496,2026-03-13,Enterprise,Integrations,positive,Critical,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,At Risk,North America
CF-0497,2026-05-14,Startup,AI Assistant,negative,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,APAC
CF-0498,2026-01-25,Strategic,Reporting,positive,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,EMEA
CF-0499,2026-06-19,Mid-Market,Notifications,negative,Low,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Medium,EMEA
CF-0500,2026-06-29,SMB,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
